Sample_ID,percent_carbon,Site,Zeb_count,Macro_count
1,0.6,5,9,2
2,0.719319563,5,101,13
7,0.445783133,1,0,6
11,0.396303901,3,197,49
12,0.575757576,3,169,6
17,0.557894737,2,4,6
22,0.749792186,5,166,17
23,0.677506775,5,147,8
27,0.768976898,4,19,11
28,0.694362018,4,7,11
32,0.454545455,3,101,8
33,0.563953488,3,309,20
37,0.383399209,2,120,25
38,0.52193646,2,132,14
43,0.580645161,1,0,2
45,0.668181818,1,0,1
48,0.459459459,5,118,2
52,3.705882353,4,9,8
53,0.648602879,4,1,1
58,0.553571429,3,81,12
62,0.404458599,2,65,21
63,0.479616307,2,16,0
67,0.836065574,1,0,9
68,0.479386892,1,0,5
72,0.369900272,1,0,21
73,0.616568047,1,0,18
78,0.850515464,5,35,18
79,0.561064087,5,56,37
83,0.586206897,4,1,3
84,0.791208791,4,2,4
88,0.826086957,3,132,10
89,0.226950355,3,89,7
93,0.3170441,2,38,19
94,0.524691358,2,17,30
100,0.185734136,1,0,5
101,0.121856867,1,0,1
103,0.697916667,5,2,2
104,0.734939759,5,4,22
108,0.827411168,4,4,5
109,0.734104046,4,1,8
113,0.724,3,29,31
118,0.601156069,2,9,4
119,0.519480519,2,21,15
123,0.851851852,1,0,7
124,0.885783718,1,0,8
128,0.956521739,5,15,3
129,0.53271028,5,73,23
133,0.379032258,4,10,6
134,0.918032787,4,2,5
138,0.906666667,3,51,21
139,0.50617284,3,115,24
143,0.415525114,2,19,5
144,0.765187713,2,46,16
148,0.884615385,5,6,2
149,0.859099804,5,21,9
153,0.429745889,4,2,4
154,0.193823916,4,4,8
158,0.652941176,3,116,22
159,0.725862069,3,218,72
163,0.945454545,2,5,11
164,0.857657658,2,5,5
168,0.763130793,1,0,9
173,0.928571429,5,24,5
178,0.492424242,4,22,10
183,0.328947368,3,85,67
184,0.462962963,3,60,19
188,0.641791045,2,61,18
189,0.343065693,2,20,9
193,0.642414861,1,0,27
194,0.760135135,1,0,9
203,0.778181818,4,30,4
204,0.5625,4,12,11
208,0.316472114,3,233,105
209,0.762589928,3,77,34
212,0.537634409,2,47,23
213,0.648578811,2,163,12
218,0.805418719,1,0,18
219,0.692348565,1,0,21
